District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP,Class,,,,,,,,,,
H,Karkala,4777,4474,-6,N,,,,,,,,,,
H,Ajekar,4755,5051,6,N,,,,,,,,,,
T,Kundapur,3786,4784,26,E,,,,,,,,,,
H,Kundapur,3786,4469,18,N,,,,,,,,,,
H,Vandse,4260,4838,14,N,,,,,,,,,,
T,Udupi,3862,4149,7,N,,,,,,,,,,
H,Udupi,3862,4031,4,N,,,,,,,,,,
H,Brahmavara,4333,4171,-4,N,,,,,,,,,,
T,Bynduru,4428,4865,10,N,,,,,,,,,,
H,Bainduru,4428,4811,9,N,,,,,,,,,,
T,Bramhavara,4043,4259,5,N,,,,,,,,,,
H,Brahmavara,4043,4237,5,N,,,,,,,,,,
H,Kota,3525,4120,17,N,,,,,,,,,,
T,Kapu,3757,4145,10,N,,,,,,,,,,
H,Kapu,3757,4079,9,N,,,,,,,,,,
T,Hebri,5802,6033,4,N,,,,,,,,,,
H,Ajekar,5802,6085,5,N,,,,,,,,,,
H,Kundapur,5073,5473,8,N,,,,,,,,,,
D,UTTARA KANNADA,2936,3346,14,N,,,,,,,,,,
T,Ankola,3532,4083,16,N,,,,,,,,,,
H,Ankola,3532,4152,18,N,,,,,,,,,,
H,Belikere,3517,3904,11,N,,,,,,,,,,
H,Basagod,3438,3823,11,N,,,,,,,,,,
H,Blale,3364,3994,19,N,,,,,,,,,,
T,Bhatkal,4322,4569,6,N,,,,,,,,,,
H,Susgadi,4322,4539,5,N,,,,,,,,,,
H,Mavalli,4071,4536,11,N,,,,,,,,,,
T,Haliyal,1339,1955,46,E,,,,,,,,,,
H,Haliyal,1339,1869,40,E,,,,,,,,,,
H,Murkvad,1061,1831,72,LE,,,,,,,,,,
H,Sambrani,1260,2006,59,E,,,,,,,,,,
H,Dandeli,1371,2174,59,E,,,,,,,,,,
T,Honnavar,3728,4613,24,E,,,,,,,,,,
H,Honnavar,3728,4238,14,N,,,,,,,,,,
H,Manki,3668,4172,14,N,,,,,,,,,,
H,Mavinakurvei,3869,4958,28,E,,,,,,,,,,
T,Karwar,3234,4293,33,E,,,,,,,,,,
H,Baad,3234,3643,13,N,,,,,,,,,,
H,Ghadasaya,3611,4611,28,E,,,,,,,,,,
H,Kinnar,3448,3723,8,N,,,,,,,,,,
H,Savantvada,3329,4381,32,E,,,,,,,,,,
T,Kumta,3523,3503,-1,N,,,,,,,,,,
H,Kumta,3523,3494,-1,N,,,,,,,,,,
H,Gokarna,3243,3430,6,N,,,,,,,,,,
H,Kujahalli,3978,3563,-10,N,,,,,,,,,,
H,Mirjan,3526,3347,-5,N,,,,,,,,,,
T,Mundgod,1438,1675,17,N,,,,,,,,,,
H,Mundgod,1438,1488,3,N,,,,,,,,,,
H,Pala,1243,1904,53,E,,,,,,,,,,
T,SIDDAPUR,3016,3682,22,E,,,,,,,,,,
H,Umbalamani,4456,3390,-24,D,,,,,,,,,,
H,Siddapura,3016,3187,6,N,,,,,,,,,,
H,Kodkani,3371,4209,25,E,,,,,,,,,,
T,SIRSI,2360,3194,35,E,,,,,,,,,,
H,Sirsi,2360,2750,17,N,,,,,,,,,,
H,Banavasi,1511,2384,58,E,,,,,,,,,,
H,Hulekal,2174,3146,45,E,,,,,,,,,,
H,Sampakanda,4141,4152,0,N,,,,,,,,,,
T,SUPA,2578,3483,35,E,,,,,,,,,,
H,Supa,2578,2556,-1,N,,,,,,,,,,
H,Kasalrock,4658,4899,5,N,,,,,,,,,,
H,Kumbarawada,3073,3178,3,N,,,,,,,,,,
T,YELLAPUR,2668,2599,-3,N,,,,,,,,,,
H,Yellapur,2668,3030,14,N,,,,,,,,,,
H,Manchikeri,1989,2205,11,N,,,,,,,,,,
T,Dandelli,1540,2064,34,E,,,,,,,,,,
H,Dhandeli,1540,2053,33,E,,,,,,,,,,
D,YADGIR,719,669,-7,N,,,,,,,,,,
T,Shahapur,848,716,-16,N,,,,,,,,,,
H,Shahpur,848,701,-17,N,,,,,,,,,,
H,Doranahlli,816,830,2,N,,,,,,,,,,
H,Gogi,775,653,-16,N,,,,,,,,,,
H,Hayyalbuzurg,735,735,0,N,,,,,,,,,,
T,Shorapur,721,613,-15,N,,,,,,,,,,
H,Shorapur,721,674,-7,N,,,,,,,,,,
H,Kakkeri,576,626,9,N,,,,,,,,,,
H,Kembhavi,584,548,-6,N,,,,,,,,,,
T,Yadgir,908,761,-16,N,,,,,,,,,,
H,Yadgir,908,778,-14,N,,,,,,,,,,
H,Balichakra,773,469,-39,D,,,,,,,,,,
H,Hattikuni,854,821,-4,N,,,,,,,,,,
H,Saidapur,754,824,9,N,,,,,,,,,,
T,Gurumithakala,773,737,-5,N,,,,,,,,,,
H,Gurmitakal,773,831,7,N,,,,,,,,,,
H,Konakal,776,663,-15,N,,,,,,,,,,
H,Balichakra,763,660,-14,N,,,,,,,,,,
T,Vadagera,617,728,18,N,,,,,,,,,,
H,Wadagera,617,678,10,N,,,,,,,,,,
H,Doranahlli,715,809,13,N,,,,,,,,,,
H,Hayyala Buzurg,722,740,2,N,,,,,,,,,,
T,Hunisigi,501,492,-2,N,,,,,,,,,,
H,Hunasagi,501,506,1,N,,,,,,,,,,
H,Kodekal,622,481,-23,D,,,,,,,,,,
H,Kakkera,571,511,-11,N,,,,,,,,,,
D,VIJAYANAGAR,643,772,20,E,,,,,,,,,,
T,Hosapete,704,777,10,N,,,,,,,,,,
H,Hospet,704,881,25,E,,,,,,,,,,
H,Kamalapura,658,681,4,N,,,,,,,,,,
H,Mariyammanahalli,673,805,20,E,,,,,,,,,,
T,Hadagali,641,783,22,E,,,,,,,,,,
H,Hadagali,641,776,21,E,,,,,,,,,,
H,Hirehadagalli,652,833,28,E,,,,,,,,,,
H,Ittigi,667,741,11,N,,,,,,,,,,
T,HAGARIBOMMANAHALLI,635,772,22,E,,,,,,,,,,
H,Hagaribommanahalli,635,700,10,N,,,,,,,,,,
H,Hampa Sagara,617,653,6,N,,,,,,,,,,
H,Tambarahalli,628,856,36,E,,,,,,,,,,
H,Kogali,617,774,26,E,,,,,,,,,,
T,HARAPPANAHALLI,755,835,11,N,,,,,,,,,,
H,Harapanahalli,755,737,-2,N,,,,,,,,,,
H,Arasikere,656,1002,53,E,,,,,,,,,,
H,Chigateri,761,681,-11,N,,,,,,,,,,
H,Telagi,665,904,36,E,,,,,,,,,,
T,Kotturu,533,749,40,E,,,,,,,,,,
H,Kotturu,533,758,42,E,,,,,,,,,,
H,Kogali,641,635,-1,N,,,,,,,,,,
H,Hoshalli,560,819,46,E,,,,,,,,,,
T,Kampli,531,591,11,N,,,,,,,,,,
H,Kampli,531,602,13,N,,,,,,,,,,
H,Kurugodu,553,524,-5,N,,,,,,,,,,
,1.SIK,714,1050,47,E,,,,,,,,,,
,2.NIK,702,780,11,N,,,,,,,,,,
,3.MALNAD,1950,2100,8,N,,,,,,,,,,
,4.COASTAL,3518,3784,8,N,,,,,,,,,,
,State,1153,1337,16,N,,,,,,,,,,
