D,DAKSHINA KANNADA,4006,3963,-1,N,,,,,,,,,,
T,Beltangadi,4426,4427,0,N,,,,,,,,,,
T,Bantwal,3856,3369,-13,N,,,,,,,,,,
T,Mangaluru,3609,3486,-3,N,,,,,,,,,,
T,Puttur,4058,3592,-12,N,,,,,,,,,,
T,Sulya,3592,3885,8,N,,,,,,,,,,
T,Mudabidri,4010,3873,-3,N,,,,,,,,,,
T,Kadaba,4135,4329,5,N,,,,,,,,,,
D,UDUPI,4535,4797,6,N,,,,,,,,,,
T,Karkala,4777,4736,-1,N,,,,,,,,,,
T,Kundapur,3786,4784,26,E,,,,,,,,,,
T,Udupi,3862,4149,7,N,,,,,,,,,,
T,Bynduru,4428,4865,10,N,,,,,,,,,,
T,Bramhavara,4043,4259,5,N,,,,,,,,,,
T,Kapu,3757,4145,10,N,,,,,,,,,,
T,Hebri,5802,6033,4,N,,,,,,,,,,
D,UTTARA KANNADA,2936,3346,14,N,,,,,,,,,,
T,Ankola,3532,4083,16,N,,,,,,,,,,
T,Bhatkal,4322,4569,6,N,,,,,,,,,,
T,Haliyal,1339,1955,46,E,,,,,,,,,,
T,Honnavar,3728,4613,24,E,,,,,,,,,,
T,Karwar,3234,4293,33,E,,,,,,,,,,
T,Kumta,3523,3503,-1,N,,,,,,,,,,
T,Mundgod,1438,1675,17,N,,,,,,,,,,
T,SIDDAPUR,3016,3682,22,E,,,,,,,,,,
T,SIRSI,2360,3194,35,E,,,,,,,,,,
T,SUPA,2578,3483,35,E,,,,,,,,,,
T,YELLAPUR,2668,2599,-3,N,,,,,,,,,,
T,Dandelli,1540,2064,34,E,,,,,,,,,,
D,YADGIR,719,669,-7,N,,,,,,,,,,
T,Shahapur,848,716,-16,N,,,,,,,,,,
T,Shorapur,721,613,-15,N,,,,,,,,,,
T,Yadgir,908,761,-16,N,,,,,,,,,,
T,Gurumithakala,773,737,-5,N,,,,,,,,,,
T,Vadagera,617,728,18,N,,,,,,,,,,
T,Hunisigi,501,492,-2,N,,,,,,,,,,
D,VIJAYANAGAR,643,772,20,E,,,,,,,,,,
T,Hosapete,704,777,10,N,,,,,,,,,,
T,Hadagali,641,783,22,E,,,,,,,,,,
T,HAGARIBOMMANAHALLI,635,772,22,E,,,,,,,,,,
T,HARAPPANAHALLI,755,835,11,N,,,,,,,,,,
T,Kotturu,533,749,40,E,,,,,,,,,,
T,Kampli,531,591,11,N,,,,,,,,,,
